sa1_code,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_and_over
7034777,3.0,6.0,12.0,9.0,6.0,15.0,9.0,6.0,9.0,9.0,3.0,6.0,12.0,3.0,3.0,0.0,0.0,0.0,0.0
7034763,6.0,6.0,3.0,9.0,6.0,6.0,9.0,15.0,12.0,9.0,3.0,12.0,9.0,3.0,0.0,3.0,3.0,0.0,0.0
7021085,12.0,12.0,9.0,9.0,12.0,12.0,15.0,12.0,18.0,9.0,12.0,15.0,9.0,12.0,3.0,3.0,0.0,0.0,0.0
7021088,12.0,9.0,9.0,9.0,12.0,9.0,30.0,12.0,15.0,12.0,9.0,6.0,6.0,9.0,3.0,0.0,3.0,0.0,0.0
7020983,9.0,15.0,15.0,12.0,9.0,21.0,18.0,15.0,21.0,9.0,6.0,6.0,3.0,3.0,3.0,6.0,0.0,0.0,3.0
7021090,6.0,6.0,9.0,9.0,9.0,12.0,18.0,15.0,6.0,12.0,12.0,6.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0
7021067,12.0,6.0,21.0,3.0,9.0,18.0,21.0,3.0,15.0,12.0,6.0,12.0,12.0,6.0,6.0,0.0,3.0,0.0,3.0
7021068,15.0,9.0,12.0,21.0,18.0,6.0,15.0,18.0,12.0,15.0,9.0,24.0,6.0,9.0,3.0,6.0,3.0,0.0,0.0
7021092,9.0,12.0,6.0,6.0,6.0,21.0,15.0,21.0,15.0,9.0,3.0,6.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0
7034778,9.0,12.0,12.0,12.0,15.0,18.0,15.0,9.0,12.0,12.0,6.0,9.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
7021074,15.0,18.0,18.0,9.0,24.0,9.0,24.0,21.0,21.0,21.0,12.0,21.0,9.0,6.0,3.0,3.0,3.0,3.0,0.0
7021077,12.0,12.0,9.0,12.0,9.0,3.0,12.0,18.0,21.0,15.0,6.0,9.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
7034759,3.0,3.0,6.0,6.0,3.0,6.0,6.0,12.0,3.0,0.0,6.0,3.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0
7020990,6.0,3.0,3.0,3.0,12.0,12.0,15.0,15.0,6.0,6.0,3.0,9.0,12.0,3.0,6.0,6.0,3.0,3.0,0.0
7020989,12.0,9.0,9.0,12.0,27.0,30.0,21.0,18.0,9.0,6.0,9.0,12.0,18.0,9.0,3.0,3.0,0.0,0.0,0.0
7020962,12.0,9.0,9.0,12.0,3.0,12.0,24.0,24.0,12.0,3.0,6.0,6.0,9.0,3.0,6.0,0.0,3.0,0.0,0.0
