x,y,pop_est
1752125,5424125,313.45
1752375,5424125,236.57
1752625,5424125,127.45
1752875,5424125,151.78
1753125,5424125,171.73
1753375,5424125,3.0
1744875,5424375,2.32
1747125,5424375,97.66
1747375,5424375,64.67
1747625,5424375,220.44
1747875,5424375,172.46
1748125,5424375,49.0
1748375,5424375,28.73
1748625,5424375,282.49
1748875,5424375,251.46
1749125,5424375,780.46
1749375,5424375,407.39
1749625,5424375,82.42
1749875,5424375,246.75
1750125,5424375,222.8
1750375,5424375,165.15
1750625,5424375,203.81
1750875,5424375,108.95
1751125,5424375,12.47
1751375,5424375,10.0
1751625,5424375,30.0
1751875,5424375,265.44
1752125,5424375,235.07
1752375,5424375,244.42
1752625,5424375,191.7
1752875,5424375,238.91
1753125,5424375,16.7
1745125,5424625,2.32
1747125,5424625,108.22
1747375,5424625,89.39
1747625,5424625,80.18
1747875,5424625,167.43
1748125,5424625,164.48
1748375,5424625,4.1
1748625,5424625,181.1
1748875,5424625,519.69
1749125,5424625,467.58
1749375,5424625,532.07
1749625,5424625,198.18
1749875,5424625,300.32
1750125,5424625,118.77
1750375,5424625,261.13
1750625,5424625,94.0
1751875,5424625,138.01
1752125,5424625,200.89
1752375,5424625,121.27
1752625,5424625,259.32
1752875,5424625,181.48
1741875,5424875,2.32
1745625,5424875,23.19
1747125,5424875,113.06
1747375,5424875,75.51
1747625,5424875,154.35
1747875,5424875,269.5
1748125,5424875,220.92
1748375,5424875,55.3
1748625,5424875,446.48
1748875,5424875,671.73
1749125,5424875,780.85
1749375,5424875,631.92
1749625,5424875,436.6
1749875,5424875,254.9
1750125,5424875,132.56
1750375,5424875,6.0
1751625,5424875,22.34
1751875,5424875,182.81
1752125,5424875,317.11
1752375,5424875,296.06
1752625,5424875,251.31
1752875,5424875,166.66
1753125,5424875,60.97
1757625,5424875,3.81
1740875,5425125,2.38
1741125,5425125,2.32
1747125,5425125,218.61
1747375,5425125,147.87
1747625,5425125,176.72
1747875,5425125,225.3
1748125,5425125,282.37
1748375,5425125,63.19
1748625,5425125,523.33
1748875,5425125,685.35
1749125,5425125,370.21
1749375,5425125,541.11
1749625,5425125,237.73
1749875,5425125,161.59
1750125,5425125,322.66
1750375,5425125,164.67
1751625,5425125,10.87
1751875,5425125,350.31
1752125,5425125,345.79
1752375,5425125,248.85
1752625,5425125,245.84
1752875,5425125,216.96
1753125,5425125,107.18
1757875,5425125,4.73
1741125,5425375,2.32
1744875,5425375,2.32
1746875,5425375,95.95
1747125,5425375,153.63
1747375,5425375,263.08
1747625,5425375,238.69
1747875,5425375,239.33
1748125,5425375,128.01
1748375,5425375,8.14
1748625,5425375,219.33
1748875,5425375,206.57
1749125,5425375,9.9
1749375,5425375,240.26
1749625,5425375,48.7
1749875,5425375,14.48
1750125,5425375,267.46
1750375,5425375,335.63
1750625,5425375,2.29
1751875,5425375,98.07
1752125,5425375,307.66
1752375,5425375,93.12
1752625,5425375,68.8
1752875,5425375,267.02
1753125,5425375,141.41
1753375,5425375,43.88
1757875,5425375,21.29
1742625,5425625,2.32
1742875,5425625,4.64
1746625,5425625,68.28
1746875,5425625,139.98
1747125,5425625,119.19
1747375,5425625,226.11
1747625,5425625,300.75
1747875,5425625,264.33
1748125,5425625,158.08
1748375,5425625,170.0
1748625,5425625,585.09
1748875,5425625,258.33
1749125,5425625,40.91
1750125,5425625,443.37
1750375,5425625,315.88
1750625,5425625,87.27
1752125,5425625,281.42
1752375,5425625,174.48
1752625,5425625,197.71
1752875,5425625,263.13
1753125,5425625,202.88
1753375,5425625,47.41
1757875,5425625,9.46
1758125,5425625,120.65
1758375,5425625,119.2
1758625,5425625,2.14
1741125,5425875,4.7
1742875,5425875,9.28
1743125,5425875,9.28
1744875,5425875,2.32
1745125,5425875,2.32
1746375,5425875,14.4
1746625,5425875,102.71
1746875,5425875,86.54
1747125,5425875,150.92
1747375,5425875,261.57
1747625,5425875,298.51
1747875,5425875,275.57
1748125,5425875,14.76
1748375,5425875,272.85
1748625,5425875,720.42
1748875,5425875,600.26
1749875,5425875,7.78
1750125,5425875,220.43
1750375,5425875,364.82
1750625,5425875,261.5
1750875,5425875,142.91
1752125,5425875,56.19
1752375,5425875,223.46
1752625,5425875,157.34
1752875,5425875,284.11
1753125,5425875,201.17
1753375,5425875,34.94
1758125,5425875,43.34
1758375,5425875,294.71
1758625,5425875,40.48
1741125,5426125,2.32
1741375,5426125,2.32
