"SA12018_V1_00","CURPop","CNPop","UnitRecDataSrce_IndForm","UnitRecDataSrce_HhldList","UnitRecDataSrce_AdminEnum","UnitRecDataSrce_Total","Sex_Male","Sex_Female","Sex_Total","Age5year_0_4_years","Age5year_5_9_years","Age5year_10_14_years","Age5year_15_19_years","Age5year_20_24_years","Age5year_25_29_years","Age5year_30_34_years","Age5year_35_39_years","Age5year_40_44_years","Age5year_45_49_years","Age5year_50_54_years","Age5year_55_59_years","Age5year_60_64_years","Age5year_65_69_years","Age5year_70_74_years","Age5year_75_79_years","Age5year_80_84_years","Age5year_Over85_years","Age5year_Total","Median_Age_single_year","Agelifecyclegroup_Under15","Agelifecyclegroup_15_29","Agelifecyclegroup_30_64","Agelifecyclegroup_Over65","Agelifecyclegroup_Total","0_4_years_Male","0_4_years_Female","5_9_years_Male","5_9_years_Female","10_14_years_Male","10_14_years_Female","15_19_years_Male","15_19_years_Female","20_24_years_Male","20_24_years_Female","25_29_years_Male","25_29_years_Female","30_34_years_Male","30_34_years_Female","35_39_years_Male","35_39_years_Female","40_44_years_Male","40_44_years_Female","45_49_years_Male","45_49_years_Female","50_54_years_Male","50_54_years_Female","55_59_years_Male","55_59_years_Female","60_64_years_Male","60_64_years_Female","65_69_years_Male","65_69_years_Female","70_74_years_Male","70_74_years_Female","75_79_years_Male","75_79_years_Female","80_84_years_Male","80_84_years_Female","Over85_Male","Over85_Female","Total_Male","Total_Female","Male_Female_Total","Median_Age_Male","Median_Age_Female","Median_Age_Total","Years_at_UR_0_years","Years_at_UR_1_4_years","Years_at_UR_5_9_years","Years_at_UR_10_14_years","Years_at_UR_15_29_years","Years_at_UR_Over30_years","Years_at_UR_Total_stated","Years_at_UR_NEI","Years_at_UR_Total","UR_5yr_ago_Same","UR_5yr_ago_ElsewhereNZ","UR_5yr_ago_Not_born","UR_5yr_ago_Overseas","UR_5yr_ago_No_fixed_abode","UR_5yr_ago_Total_stated","UR_5yr_ago_NEI","UR_5yr_ago_Total","UR_1yr_ago_Same","UR_1yr_ago_ElsewhereNZ","UR_1yr_ago_Not_born","UR_1yr_ago_Overseas","UR_1yr_ago_No_fixed_abode","UR_1yr_ago_Total_stated","UR_1yr_ago_NEI","UR_1yr_ago_Total","Birthplace_NZ","Birthplace_Overseas","Birthplace_Total_stated","Birthplace_NEI","Birthplace_Total","Birthpl_Brd_NZ","Birthpl_Brd_Australia","Birthpl_Brd_Pacific_Is","Birthpl_Brd_UK_and_Ireland","Birthpl_Brd_Europe","Birthpl_Brd_North_America","Birthpl_Brd_Asia","Birthpl_Brd_MidEast_Africa","Birthpl_Brd_Other","Birthpl_Brd_Total_stated","Birthpl_Brd_NEI","Birthpl_Brd_Total","ArrivalNZ_Less_one_year_OB","ArrivalNZ_1_year_OB","ArrivalNZ_2_years_OB","ArrivalNZ_3_years_OB","ArrivalNZ_4_years_OB","ArrivalNZ_5_9_years_OB","ArrivalNZ_10_19_years_OB","ArrivalNZ_20_years_more_OB","ArrivalNZ_Total_stated_OB","ArrivalNZ_NEI_OB","ArrivalNZ_Total_OB","Ethnicity_L1_European","Ethnicity_L1_Maori","Ethnicity_L1_Pacific_Ppls","Ethnicity_L1_Asian","Ethnicity_L1_MELAA","Ethnicity_L1_Other","Ethnicity_L2_New_Zealander","Ethnicity_L2_Other_nec","Ethnicity_L1_Total_stated","Ethnicity_L1_NEI","Ethnicity_Total","Languages_English","Languages_Maori","Languages_Samoan","Languages_NZ_Sign_Language","Languages_Other","Languages_None","Languages_Total_stated","Languages_NEI","Languages_Total","Maori_Maori_descent","Maori_No_Maori_descent","Maori_Dont_know","Maori_Total_stated","Maori_NEI","Maori_Total"
"7021275",195,195,186,6,6,195,96,99,195,6,15,18,12,21,12,9,9,18,18,15,24,9,3,3,0,0,3,195,37.8,39,45,105,6,195,3,3,9,3,9,9,6,6,12,9,6,6,3,6,3,9,12,6,6,12,6,9,9,18,6,3,3,0,3,0,0,0,0,0,3,0,96,99,195,31.5,41.5,37.8,45,45,27,21,33,9,183,12,195,84,81,6,12,0,183,12,195,135,48,0,3,0,186,9,195,144,51,192,0,195,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,0,3,0,6,6,18,15,51,0,51,183,6,3,12,0,3,3,0,195,0,195,192,3,3,0,27,0,195,0,195,12,180,0,195,0,195
"7021276",141,138,135,3,3,141,63,78,141,3,9,9,15,15,12,12,6,15,9,6,6,9,6,3,3,0,0,141,34,24,36,63,15,141,0,3,3,6,6,3,3,9,9,3,3,6,6,6,0,6,6,9,6,3,0,3,0,3,6,3,0,3,3,3,0,0,0,0,0,0,63,78,141,34.4,31.9,34,30,33,24,15,15,18,135,6,141,69,51,3,0,0,129,12,141,102,30,0,3,0,132,6,141,105,30,135,3,141,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,0,0,0,0,0,3,9,9,30,0,30,129,12,0,3,0,6,3,0,141,0,141,135,6,0,3,15,3,141,0,141,12,123,3,141,0,141
"7021277",114,102,102,3,9,114,57,57,114,6,3,3,6,30,27,6,6,0,0,9,6,3,3,6,3,3,0,114,27.7,12,63,30,9,114,3,0,0,0,0,3,6,0,9,18,15,12,3,3,3,3,0,0,0,0,3,3,3,3,3,0,0,3,3,0,0,3,0,3,0,0,57,57,114,27.8,27.2,27.7,33,30,12,12,12,0,99,15,114,24,48,6,15,0,93,24,114,69,21,3,9,0,102,15,114,69,42,114,0,114,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,3,6,3,0,6,12,9,42,0,42,72,3,9,33,6,0,0,0,114,0,114,105,0,0,0,30,3,114,0,114,3,111,0,114,0,114
"7021278",138,141,120,12,3,138,66,72,138,3,3,0,3,54,21,9,6,6,6,3,3,3,6,0,0,0,3,138,25.1,9,81,36,9,138,3,3,0,3,0,0,0,3,24,33,12,12,6,3,3,6,0,3,3,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,66,72,138,25.6,24.2,25.1,48,48,12,3,3,9,120,18,138,18,84,3,12,0,120,21,138,75,39,3,3,0,120,18,138,87,51,135,0,138,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,0,6,0,0,3,9,15,15,51,0,51,120,9,6,12,0,0,0,0,138,0,138,132,0,0,3,24,3,138,0,138,12,123,0,138,0,138
"7021279",141,138,126,9,12,141,72,72,141,3,0,3,9,39,27,9,12,6,3,6,6,3,9,3,0,0,3,141,27.8,6,75,48,9,141,3,0,0,0,0,3,6,3,18,21,12,12,6,3,6,6,3,3,3,3,3,3,0,6,0,0,3,6,3,0,0,0,0,0,0,3,72,72,141,27.8,27.2,27.8,42,57,15,9,6,0,126,18,141,27,69,3,15,0,117,24,141,81,33,3,3,0,123,18,141,81,60,141,3,141,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,0,9,6,0,3,9,21,12,60,0,60,120,15,0,18,3,0,0,0,141,0,141,141,0,0,0,30,3,141,0,141,18,123,0,141,0,141
"7021280",180,189,171,6,6,180,75,105,180,6,12,6,18,39,18,9,9,15,12,6,9,6,9,3,3,3,0,180,26.8,24,72,69,15,180,0,3,6,9,3,3,9,12,15,24,6,9,3,6,3,6,9,9,6,6,3,3,3,6,3,3,0,3,0,0,3,0,3,3,0,0,75,105,180,27.6,26.3,26.8,54,45,30,12,24,6,171,9,180,57,87,6,6,0,153,24,180,117,51,0,6,0,171,9,180,129,48,177,3,180,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,3,0,0,0,9,12,18,48,0,48,165,12,3,6,0,3,3,0,180,0,180,177,0,0,0,39,3,180,0,180,12,168,3,180,0,180
"7021281",162,168,141,15,9,162,84,81,162,6,18,9,9,9,18,12,6,12,6,15,9,9,12,9,3,3,0,162,35,33,36,69,24,162,0,6,9,9,6,6,6,0,6,3,9,9,9,3,3,3,6,6,3,3,6,12,3,6,6,3,6,3,0,6,0,3,0,0,0,0,84,81,162,33.4,38.2,35,12,54,36,12,27,0,141,24,162,69,54,6,12,0,138,27,162,126,12,0,3,0,138,27,162,114,45,159,6,162,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,3,0,3,3,3,3,24,45,0,45,138,3,3,24,0,3,3,0,162,0,162,162,0,0,0,39,3,162,0,162,9,153,3,162,0,162
"7021282",201,201,186,6,12,201,102,99,201,9,9,9,18,15,33,21,12,18,12,9,15,9,6,0,3,0,0,201,31.8,27,69,96,12,201,6,3,3,6,6,0,3,12,6,9,24,9,9,9,6,9,9,9,6,9,6,3,6,6,3,6,3,3,0,0,0,3,0,0,0,0,102,99,201,30.5,32.8,31.8,36,84,30,9,21,6,183,18,201,60,72,9,27,0,168,33,201,147,30,3,3,0,186,18,201,135,63,198,3,201,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,0,6,3,6,12,15,6,15,63,0,63,156,12,9,33,3,0,0,0,201,0,201,192,9,3,3,57,6,201,0,201,18,180,3,201,0,201
"7021283",222,201,150,3,69,222,99,123,222,12,0,3,12,3,9,9,6,9,18,18,18,9,18,9,6,18,39,222,55.9,18,27,87,90,222,6,6,0,0,3,0,9,6,0,3,3,6,3,6,3,3,6,3,12,6,9,9,9,12,6,3,12,9,0,6,3,3,3,15,12,27,99,123,222,51.9,64.2,55.9,27,42,36,15,21,9,147,75,222,78,117,12,0,0,207,15,222,117,24,3,0,0,147,75,222,171,48,219,3,222,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,0,0,0,0,0,3,6,36,45,3,48,213,15,3,9,3,3,3,3,222,0,222,213,6,3,0,21,12,222,0,222,15,201,6,222,0,222
"7021284",150,156,138,3,6,150,84,69,150,6,6,15,9,9,3,3,9,3,12,15,12,12,9,12,12,3,3,150,49.3,30,21,69,33,150,3,3,6,3,9,6,3,3,9,3,3,0,3,0,3,3,3,3,3,9,9,6,9,6,6,3,3,6,6,3,3,6,0,3,0,3,84,69,150,42.2,51.3,49.3,6,30,33,21,27,18,138,12,150,96,36,6,0,0,138,12,150,132,9,0,3,0,138,12,150,129,21,147,3,150,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,0,0,0,0,0,3,9,9,21,0,21,132,3,0,18,3,6,6,0,150,0,150,150,0,0,0,21,3,150,0,150,3,141,3,150,0,150
